road_usa,1,1,0.997155499,1,1,0.714285714,0.75,0.75,1,1,5.032036798,9.601959736,6.866222057,11.43891101,13.7155971,12.93427839,12.70459301,12.59554533,9.891993526,12.69997479
kmer_A2a,1,1,0.934108527,1,1,1,1,1,1,1,5.31028189,7.723302711,4.986978401,8.958046582,8.233898863,8.17866637,8.874553455,9.104663761,7.818117553,10.52225362
kmer_V1r,1,1,1.033333333,0.9,1,1,0.75,1,1,1,4.585662386,8.450481962,5.115074175,7.788063572,7.324254058,7.647392984,7.502925578,9.396749376,7.015518404,9.859014328
uk-2002,1,1,1,1,1,1,1,0.6,1,1,8.760203716,8.817501765,12.20117089,10.68397653,15.64276433,14.11782358,15.2274126,10.96191129,5.924236322,9.016801413
delaunay_n10,1,1,0.8,1,0.666666667,1,0.5,1,1,1,0.231378372,0.555869873,0.310544612,0.393442623,0.2760364,0.421703297,0.267096774,0.400926999,0.559305689,0.948042444
delaunay_n11,1,1,0.714285714,1,1,1,1,1,1,1,0.407481098,0.842490842,0.523679417,0.649321267,0.552964043,0.711864407,0.178920681,0.734741784,0.99478749,1.155468026
delaunay_n12,1,1,0.625,0.8,1,1,1,1,1,1,0.49332576,1.443443443,0.817270625,0.955656109,0.986717268,1.158547387,1.412066752,1.30976431,1.473267327,2.660601466
delaunay_n13,1,1,0.666666667,1,1,1,1,1,1,1,1.09204793,1.691739422,1.428482587,1.557200538,1.701244813,1.680733945,1.847475832,0.832289492,1.545106448,3.867637326
delaunay_n14,1,1,0.636363636,1,1,1,1,1,1.111111111,1,1.78408377,0.975261498,1.300368834,2.408903167,2.992875648,3.136993899,3.113162119,3.442048518,1.938688466,5.216392066
delaunay_n15,1,1,0.7,1,1,1,1,0.8,1,1,1.786794499,2.33377425,2.827211753,1.53399385,3.626213592,4.234816082,3.740282686,3.415019763,2.98127993,7.153453253
delaunay_n16,1,1,0.769230769,0.833333333,1,1,1,0.8,1,1,2.282004487,2.155163189,5.342733968,3.764408311,3.280907232,7.058530875,6.201124047,5.90482538,5.551237445,9.852216053
delaunay_n17,1,1,0.8,1,1,1,1,0.8,1,1,3.2232984,3.21570377,5.749621264,6.998719824,7.121225288,7.811986557,7.328881906,6.463168689,7.987676363,12.61776915
delaunay_n18,1,1,0.769230769,1,1,1,1,0.8,1,1,5.158653214,3.003617297,8.336184773,9.194578987,9.649294118,11.2337774,9.546742585,9.752649137,10.99814447,14.34250369
delaunay_n19,1,1,0.692307692,1,1,1,1,0.8,1,1,6.278981156,4.434003464,8.818046551,9.786185521,11.78309162,14.1047939,13.04497167,10.57427373,6.762915433,12.41201177
